source_id,radius_gspphot,radius_gspphot_lower,radius_gspphot_upper,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,fem_gspspec,fem_gspspec_lower,fem_gspspec_upper,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,ecl_lon,ecl_lat
2863419584886542080,0.1516,0.1514,0.1518,2833.727,2833.4082,2834.0164,5.1641,5.1636,5.1647,,,,5.128239996638605,33.08128045387165,13.935161,16.399508,12.537745,12.2605,12.2494,12.2691,18.906485648717236,28.098956302726485
5683871247496205312,0.3626,0.3616,0.3632,3024.2139,3022.277,3030.8489,4.3258,4.3184,4.349,,,,146.18979553814498,-18.214363698648825,11.08249,12.677522,9.858604,10.9967,10.989,11.0306,155.44420598769352,-29.803702184431298
5690846274384548864,0.382,0.3804,0.3944,2911.166,2904.5508,2913.4043,4.5463,4.5046,4.5536,,,,146.2242946880038,-12.348259270729132,11.872169,13.925144,10.534121,13.1182,13.0886,13.4625,153.02959348843325,-24.345119401882855
5684037136313018368,0.2091,0.2089,0.2095,3206.2996,3205.7556,3207.1077,4.7515,4.7507,4.7553,,,,145.93572009719549,-17.784076029964655,12.1573925,13.402913,11.055974,13.4134,13.405,13.4312,154.99896731685376,-29.49740658473933
5690980582306104448,0.6138,0.6132,0.615,3459.8992,3458.7104,3462.761,4.2044,4.201,4.2088,-0.17,-0.22,-0.14,147.79534254143024,-12.336323719476468,9.242064,10.25897,8.238635,13.1396,13.1324,13.1859,154.58938123913856,-23.773255939094188
409824168780424832,0.3384,0.338,0.339,3414.948,3414.7585,3415.1035,4.9172,4.9146,4.9179,,,,24.588466983866212,57.23095397492771,10.8970585,12.2141485,9.759813,13.1682,13.1519,13.188,47.71127409915151,42.99135498611705
1349047857580994560,0.4998,0.4756,0.5238,3275.029,3214.848,3405.4338,4.3702,4.1604,4.6636,,,,265.9832423101327,43.37593023818892,9.450096,10.72628,8.328486,9.5186,9.4768,9.5525,262.60062943324886,66.71206915245783
5934097210481810432,0.4051,0.3824,0.4076,3074.9802,3069.932,3170.625,4.2471,4.2285,4.5714,,,,248.3305162924753,-52.133851689110905,11.115624,12.581364,9.931381,13.4583,13.3444,13.5047,254.85486613212817,-29.8278374555746
1350714133093019904,0.4983,0.47,0.5037,3145.5625,3136.4148,3276.3958,4.1782,4.1437,4.5533,,,,269.4622611288724,46.59121608783237,10.570074,11.951392,9.411464,13.9707,13.8972,14.0024,268.9180611511057,70.02847740570375
2644439955745152512,0.5201,0.5196,0.5206,3277.7864,3277.153,3279.0588,4.247,4.2451,4.2515,,,,353.5094798297434,0.17524273262485965,10.176725,11.397374,9.073014,14.0407,14.035,14.0486,354.1104629120099,2.7380670502285236
